timestamp;TIME;latitude;longitude;locked
20250715_153223.222989;20250715;0;0;searching
20250715_153223.562639;20250715;0;0;searching
20250715_153223.893481;20250715;0;0;searching
20250715_153224.237528;20250715;0;0;searching
20250715_153224.584748;20250715;0;0;searching
20250715_153224.917123;20250715;0;0;searching
20250715_153225.256058;20250715;0;0;searching
20250715_153225.595666;20250715;0;0;searching
20250715_153225.939326;20250715;0;0;searching
20250715_153226.276756;20250715;0;0;searching
20250715_153226.632612;20250715;0;0;searching
20250715_153226.965405;20250715;0;0;searching
20250715_153227.297143;20250715;0;0;searching
20250715_153227.629006;20250715;0;0;searching
20250715_153227.959901;20250715;0;0;searching
20250715_153228.299486;20250715;0;0;searching
20250715_153228.629127;20250715;0;0;searching
20250715_153228.965626;20250715;0;0;searching
20250715_153229.300817;20250715;0;0;searching
20250715_153229.642080;20250715;0;0;searching
20250715_153229.976502;20250715;0;0;searching
20250715_153230.304982;20250715;0;0;searching
20250715_153230.636472;20250715;0;0;searching
20250715_153230.972802;20250715;0;0;searching
20250715_153231.302777;20250715;0;0;searching
20250715_153231.648106;20250715;0;0;searching
20250715_153231.980196;20250715;0;0;searching
20250715_153232.325257;20250715;0;0;searching
20250715_153232.667156;20250715;0;0;searching
20250715_153233.006724;20250715;0;0;searching
20250715_153233.345526;20250715;0;0;searching
20250715_153233.678497;20250715;0;0;searching
20250715_153234.011931;20250715;0;0;searching
20250715_153234.352481;20250715;0;0;searching
20250715_153234.684985;20250715;0;0;searching
20250715_153235.016001;20250715;0;0;searching
20250715_153235.367327;20250715;0;0;searching
20250715_153235.717005;20250715;0;0;searching
20250715_153236.061118;20250715;0;0;searching
20250715_153236.398439;20250715;0;0;searching
20250715_153236.752268;20250715;0;0;searching
20250715_153237.094187;20250715;0;0;searching
20250715_153237.422287;20250715;0;0;searching
20250715_153237.758557;20250715;0;0;searching
20250715_153238.099672;20250715;0;0;searching
20250715_153238.441244;20250715;0;0;searching
20250715_153238.774687;20250715;0;0;searching
20250715_153239.123225;20250715;0;0;searching
20250715_153239.468400;20250715;0;0;searching
20250715_153239.864626;20250715;0;0;searching
20250715_153240.219171;20250715;0;0;searching
20250715_153240.551569;20250715;0;0;searching
20250715_153240.887037;20250715;0;0;searching
20250715_153241.222160;20250715;0;0;searching
20250715_153241.570669;20250715;0;0;searching
20250715_153241.905311;20250715;0;0;searching
20250715_153242.236408;20250715;0;0;searching
20250715_153242.568729;20250715;0;0;searching
20250715_153242.896736;20250715;0;0;searching
20250715_153243.233318;20250715;0;0;searching
20250715_153243.568119;20250715;0;0;searching
20250715_153243.903873;20250715;0;0;searching
20250715_153244.243352;20250715;0;0;searching
20250715_153244.583586;20250715;0;0;searching
20250715_153244.924184;20250715;0;0;searching
20250715_153245.257953;20250715;0;0;searching
20250715_153245.584378;20250715;0;0;searching
20250715_153245.913731;20250715;0;0;searching
20250715_153246.248325;20250715;0;0;searching
20250715_153246.595897;20250715;0;0;searching
20250715_153246.921729;20250715;0;0;searching
20250715_153247.245429;20250715;0;0;searching
20250715_153247.577023;20250715;0;0;searching
20250715_153247.901345;20250715;0;0;searching
20250715_153248.236058;20250715;0;0;searching
20250715_153248.563556;20250715;0;0;searching
20250715_153248.893596;20250715;0;0;searching
20250715_153249.225662;20250715;0;0;searching
20250715_153249.552284;20250715;0;0;searching
20250715_153249.877928;20250715;0;0;searching
20250715_153250.210558;20250715;0;0;searching
20250715_153250.542738;20250715;0;0;searching
20250715_153250.875772;20250715;0;0;searching
20250715_153251.210881;20250715;0;0;searching
20250715_153251.564937;20250715;0;0;searching
20250715_153251.901497;20250715;0;0;searching
20250715_153252.239978;20250715;0;0;searching
20250715_153252.584907;20250715;0;0;searching
20250715_153252.922363;20250715;0;0;searching
20250715_153253.254201;20250715;0;0;searching
20250715_153253.587698;20250715;0;0;searching
20250715_153253.934381;20250715;0;0;searching
20250715_153254.274971;20250715;0;0;searching
20250715_153254.620352;20250715;0;0;searching
20250715_153254.958299;20250715;0;0;searching
20250715_153255.296676;20250715;0;0;searching
20250715_153255.637089;20250715;0;0;searching
20250715_153255.988575;20250715;0;0;searching
20250715_153256.324956;20250715;0;0;searching
20250715_153256.671873;20250715;0;0;searching
20250715_153257.006730;20250715;0;0;searching
20250715_153257.345079;20250715;0;0;searching
20250715_153257.683362;20250715;0;0;searching
