timestamp,latitude,longitude,locked
20250715_153243.233318,0.0,0.0,searching
20250715_153243.568119,0.0,0.0,searching
20250715_153243.903873,0.0,0.0,searching
20250715_153244.243352,0.0,0.0,searching
20250715_153244.583586,0.0,0.0,searching
20250715_153244.924184,0.0,0.0,searching
20250715_153245.257953,0.0,0.0,searching
20250715_153245.584378,0.0,0.0,searching
20250715_153245.913731,0.0,0.0,searching
20250715_153246.248325,0.0,0.0,searching
20250715_153246.595897,0.0,0.0,searching
20250715_153246.921729,0.0,0.0,searching
20250715_153247.245429,0.0,0.0,searching
20250715_153247.577023,0.0,0.0,searching
20250715_153247.901345,0.0,0.0,searching
20250715_153248.236058,0.0,0.0,searching
20250715_153248.563556,0.0,0.0,searching
20250715_153248.893596,0.0,0.0,searching
20250715_153249.225662,0.0,0.0,searching
20250715_153249.552284,0.0,0.0,searching
20250715_153249.877928,0.0,0.0,searching
20250715_153250.210558,0.0,0.0,searching
20250715_153250.542738,0.0,0.0,searching
20250715_153250.875772,0.0,0.0,searching
20250715_153251.210881,0.0,0.0,searching
20250715_153251.564937,0.0,0.0,searching
20250715_153251.901497,0.0,0.0,searching
20250715_153252.239978,0.0,0.0,searching
20250715_153252.584907,0.0,0.0,searching
20250715_153252.922363,0.0,0.0,searching
20250715_153253.254201,0.0,0.0,searching
20250715_153253.587698,0.0,0.0,searching
20250715_153253.934381,0.0,0.0,searching
20250715_153254.274971,0.0,0.0,searching
20250715_153254.620352,0.0,0.0,searching
20250715_153254.958299,0.0,0.0,searching
20250715_153255.296676,0.0,0.0,searching
20250715_153255.637089,0.0,0.0,searching
20250715_153255.988575,0.0,0.0,searching
20250715_153256.324956,0.0,0.0,searching
20250715_153256.671873,0.0,0.0,searching
20250715_153257.006730,0.0,0.0,searching
20250715_153257.345079,0.0,0.0,searching
20250715_153257.683362,0.0,0.0,searching
20250715_153258.020284,0.0,0.0,searching
20250715_153258.353262,0.0,0.0,searching
20250715_153258.693415,0.0,0.0,searching
20250715_153259.034909,0.0,0.0,searching
20250715_153259.368348,0.0,0.0,searching
20250715_153259.701825,0.0,0.0,searching
20250715_153300.049560,0.0,0.0,searching
20250715_153300.389510,0.0,0.0,searching
20250715_153300.721368,0.0,0.0,searching
20250715_153301.058062,0.0,0.0,searching
20250715_153301.395457,0.0,0.0,searching
20250715_153301.745665,0.0,0.0,searching
20250715_153302.080187,0.0,0.0,searching
20250715_153302.415642,0.0,0.0,searching
20250715_153302.752288,0.0,0.0,searching
20250715_153303.087877,0.0,0.0,searching
20250715_153303.417595,0.0,0.0,searching
20250715_153303.750052,0.0,0.0,searching
20250715_153304.091703,0.0,0.0,searching
